9,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
9,"t","Colony Health Stressors with Five or More Colonies – States and United States: July-September 2022"
9,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
9,"h","","","","","","",""
9,"h","","Varroa","Other pests","","","",""
9,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
9,"h","","","","","","",""
9,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
9,"d","Alabama",70.7,25.7,0.5,4.2,5.5,4.0
9,"d","Arizona",6.4,0.9,1.1,4.5,2.2,3.8
9,"d","Arkansas",25.1,12.6,"(Z)",13.0,7.0,4.8
9,"d","California",30.4,7.2,4.3,6.2,9.8,7.9
9,"d","Colorado",14.4,-,"(Z)",-,2.2,5.4
9,"d","Connecticut",9.4,3.3,0.5,1.0,4.6,"(Z)"
9,"d","Florida",56.5,30.8,1.7,13.9,14.2,16.6
9,"d","Georgia",49.4,21.4,7.0,5.6,16.3,10.1
9,"d","Idaho",44.0,4.9,5.0,9.8,9.5,3.7
9,"d","",,,,,,
9,"d","Illinois",37.4,20.1,0.7,11.8,1.4,10.0
9,"d","Indiana",49.8,4.7,"(Z)",41.2,2.9,2.3
9,"d","Iowa",5.1,3.1,2.4,2.1,2.4,2.1
9,"d","Kansas",50.6,7.3,2.7,30.8,2.4,17.3
9,"d","Kentucky",26.1,17.2,-,-,17.5,22.3
9,"d","Louisiana",51.9,17.0,0.9,"(Z)",1.9,3.9
9,"d","Maine",60.2,1.0,51.8,51.8,"(Z)","(Z)"
9,"d","Maryland",61.9,36.1,4.6,4.5,3.4,3.1
9,"d","Massachusetts",20.8,4.9,1.5,"(Z)",7.5,"(Z)"
9,"d","Michigan",25.4,2.8,2.1,4.6,3.5,1.7
9,"d","",,,,,,
9,"d","Minnesota",10.7,1.4,"(Z)",10.7,4.1,2.3
9,"d","Mississippi",56.1,14.6,0.9,3.6,12.2,9.5
9,"d","Missouri",20.4,13.1,"(Z)",0.8,14.7,"(Z)"
9,"d","Montana",22.1,"(Z)","(Z)",3.0,7.5,0.7
9,"d","Nebraska",18.3,"(Z)",3.8,1.7,7.5,"(Z)"
9,"d","New Jersey",15.4,10.1,"(Z)","(Z)",0.7,7.7
9,"d","New Mexico",7.3,1.1,-,1.3,2.4,1.1
9,"d","New York",57.3,13.8,9.3,21.1,16.7,7.8
9,"d","North Carolina",35.8,26.1,1.5,1.4,0.9,1.1
9,"d","North Dakota",56.1,12.7,4.2,17.1,7.3,0.9
9,"d","",,,,,,
9,"d","Ohio",41.9,16.8,"(Z)",10.1,6.3,2.4
9,"d","Oklahoma",27.1,1.5,0.6,10.0,8.1,1.6
9,"d","Oregon",32.0,10.0,6.1,4.3,12.7,0.5
9,"d","Pennsylvania",25.8,4.6,0.6,1.7,3.7,0.8
9,"d","South Carolina",34.9,24.7,5.6,6.7,7.1,5.6
9,"d","South Dakota",24.7,3.4,"(Z)",16.8,18.1,0.5
9,"d","Tennessee",27.3,20.5,10.3,8.5,11.3,10.8
9,"d","Texas",12.4,11.6,"(Z)",5.9,5.5,1.6
9,"d","Utah",26.7,18.5,3.4,17.6,2.6,4.0
9,"d","Vermont",32.4,1.0,0.7,-,2.1,0.6
9,"d","",,,,,,
9,"d","Virginia",34.5,13.9,0.6,2.3,1.6,7.2
9,"d","Washington",11.1,"(Z)","(Z)",-,"(Z)",0.7
9,"d","West Virginia",14.8,9.2,3.8,3.4,"(Z)",2.1
9,"d","Wisconsin",20.4,7.9,7.2,6.7,5.0,6.9
9,"d","Wyoming",14.1,4.4,4.9,4.9,1.5,"(Z)"
9,"d","",,,,,,
9,"d","Other States 4/",22.5,4.5,2.1,5.3,4.4,2.2
9,"d","",,,,,,
9,"d","United States",37.3,11.4,3.4,10.0,9.3,5.2
9,"c",""
9,"f","-  Represents zero."
9,"f","(Z)  Less than half of the unit shown."
9,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
9,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
9,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
9,"f","4/ Includes data for States not published in this table."
